posted,,10/20/2018,,THE PARLOR ROOM 286140800AUSTIN       TX,Restaurants/Dining,-132
posted,,10/19/2018,,AUS 3187 SECOND BAR &amp; KITAUSTIN       TX,Restaurants/Dining,-11.9
posted,,10/19/2018,,AUS 3185B BARTON SPRINGS AUSTIN       TX,Gifts,-10.97
posted,,10/19/2018,,THE BLIND PIG PUB 6500000AUSTIN       TX,Restaurants/Dining,-16
posted,,10/19/2018,,STUBBS BAR-B-Q 7392954753AUSTIN       TX,Restaurants/Dining,-85
posted,,10/19/2018,,STUBBS BAR-B-Q 7392954753AUSTIN       TX,Restaurants/Dining,-9.5
posted,,10/19/2018,,HAPPY CAKES CAFE 0018    DENVER       CO,Restaurants/Dining,-5.13
posted,,10/19/2018,,CLIVE BAR 125520060949351AUSTIN       TX,Restaurants/Dining,-10
posted,,10/19/2018,,CLIVE BAR 125520060949351AUSTIN       TX,Restaurants/Dining,-32
posted,,10/19/2018,,ATX COCINA 001 ATX COCINAAUSTIN       TX,Restaurants/Dining,-166
posted,,10/19/2018,,SKIPRO.COM               602-955-3939 AZ,General Merchandise,--185.36
posted,,10/19/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-6.98
posted,,10/16/2018,,JENNY'S MARKET #002 10188DENVER       CO,Groceries,-48.51
posted,,10/15/2018,,THE UPS STORE #2498      WESTMINSTER  CO,Postage and Shipping,-16.77
posted,,10/15/2018,,KING SOOPERS #0055 000000WESTMINSTER  CO,Groceries,-27.15
posted,,10/15/2018,,THE BLACK TUX            888-717-1588 CA,General Merchandise,-204.54
posted,,10/15/2018,,ZOLA REGISTRY            NEW YORK     NY,Restaurants/Dining,-150
posted,,10/15/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--1405.26
posted,,10/14/2018,,TARGET DENVER STAPLETON 2DENVER       CO,General Merchandise,-82.3
posted,,10/13/2018,,THE UPS STORE #6326      DENVER       CO,Postage and Shipping,-3.44
posted,,10/12/2018,,SAFEWAY  STORE  2246     DENVER       CO,Groceries,-37.14
posted,,10/12/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--786.7
posted,,10/09/2018,,CHRISTY SPORTS 10 ARVADA ARVADA       CO,Snowboarding,-323.83
posted,,10/09/2018,,SKIPRO.COM               602-955-3939 AZ,General Merchandise,-185.36
posted,,10/09/2018,,HELLOFRESH.COM 800-733-24NEW YORK,Restaurants/Dining,-69.92
posted,,10/09/2018,,VIVID SEATS COLORADO     CHICAGO      IL,Business Miscellaneous,--130
posted,,10/08/2018,,AUDIBLE US               888-283-5051 NJ,Entertainment,-16.09
posted,,10/08/2018,,ORACLE BROOM  072885 5792BROOMFIELD   CO,Business Miscellaneous,-2.93
posted,,10/08/2018,,7-ELEVEN 34036 93403699  BROOMFIELD   CO,Groceries,-57.61
posted,,10/07/2018,,RYE SOCIETY 000000001    DENVER       CO,Restaurants/Dining,-14.04
posted,,10/07/2018,,SAFEWAY  STORE  2246     DENVER       CO,Groceries,-5.55
posted,,10/06/2018,,AVELINA                  DENVER       CO,Restaurants/Dining,-100.5
posted,,10/06/2018,,BT*JUMPBIKESHAR*EDENVER JBROOKLYN     NY,Other Expenses,-2.15
posted,,10/06/2018,,KING SOOPERS #0029 000000DENVER       CO,Groceries,-7.18
posted,,10/05/2018,,VIVID SEATS COLORADO     CHICAGO      IL,Entertainment,-130
posted,,10/05/2018,,THE USUAL BARBERSHOP     DENVER       CO,Personal Care,-36
posted,,10/04/2018,,CHIPOTLE 0114 0009       LOUISVILLE   CO,Work Lunches,-10.92
posted,,10/04/2018,,ALTITUDE TICKETS-M 0081  DENVER       CO,Entertainment,-72
posted,,10/02/2018,,SAFEWAY STORE     2812   LOUISVILLE   CO,Groceries,-12.42
posted,,10/01/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--63.44
posted,,09/30/2018,,RYE SOCIETY 000000001    DENVER       CO,Restaurants/Dining,-4.05
posted,,09/30/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--494.43
posted,,09/30/2018,,FESTIV LLC               DENVER       CO,Healthcare/Medical,-20
posted,,09/29/2018,,HILTON GC 888 774-01     630-353-7900 IL,Travel,-101.95
posted,,09/29/2018,,SAFEWAY STORE  2246      DENVER       CO,Groceries,-64.09
posted,,09/29/2018,,STARBUCKS 542929806745147DENVER       CO,Restaurants/Dining,-10.59
posted,,09/29/2018,,ARGONAUT WINE &amp; LIQUOR S DENVER       CO,Alcohol/Booze,-48.56
posted,,09/28/2018,,USAA INS PREMIU USAA INS SAN ANTONIO  TX,Insurance,-59.37
posted,,09/28/2018,,SEI 37141 93714194       DENVER       CO,Securities Trades,-52.92
posted,,09/28/2018,,LARKBURGER ARVADA 0000   ARVADA       CO,Work Lunches,-12.61
posted,,09/28/2018,,SPROUTS FARMERS MKT#314 0DENVER       CO,Groceries,-31.46
posted,,09/27/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-11.31
posted,,09/27/2018,,ORACLE BROOM  072885 5792BROOMFIELD   CO,Business Miscellaneous,-5.61
posted,,09/27/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--874.71
posted,,09/26/2018,,SAFEWAY STORE     2812   LOUISVILLE   CO,Groceries,-19.36
posted,,09/25/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-16.85
posted,,09/25/2018,,ORACLE BROOM  072885 5792BROOMFIELD   CO,Business Miscellaneous,-2.77
posted,,09/24/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--50.04
posted,,09/22/2018,,DENVER TAILORING AND A   DENVER       CO,Clothing/Shoes,-10
posted,,09/22/2018,,EVO - DENVER 000000004   DENVER       CO,Automotive Expenses,-102.71
posted,,09/22/2018,,ARGONAUT WINE &amp; LIQUOR S DENVER       CO,Alcohol/Booze,-61.1
posted,,09/22/2018,,STITCH FIX  INC.         SAN FRANCIS  CA,Clothing/Shoes,-71.5
posted,,09/22/2018,,KING SOOPERS #0029 000000DENVER       CO,Groceries,-39.7
posted,,09/21/2018,,ORACLE BROOM  072885 5792BROOMFIELD   CO,Business Miscellaneous,-1.71
posted,,09/21/2018,,STUBHUB  INC STUBHUB  INCSAN FRANCISCOCA,Entertainment,-107.73
posted,,09/21/2018,,VZWRLSS*BILL PAY  VE     FOLSOM       CA,Telephone Services,-72.2
posted,,09/21/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-6.99
posted,,09/20/2018,,LOLA COASTAL MEXICAN     DENVER       CO,Restaurants/Dining,-37.5
posted,,09/20/2018,,VIOC GF0001 GF00         WESTMINSTER  CO,Gasoline/Fuel,-43.58
posted,,09/20/2018,,FLATIRON 43 10096196     BROOMFIELD   CO,Gasoline/Fuel,-52.94
posted,,09/19/2018,,DTCOM                    DALLAS       TX,Travel,-228.99
posted,,09/19/2018,,DTCOM                    DALLAS       TX,Travel,-312.97
posted,,09/19/2018,,SUSHI DEN 0000           DENVER       CO,Restaurants/Dining,-136
posted,,09/19/2018,,AMAZON.COM*MT8Z163D0     AMZN.COM/BILLWA,General Merchandise,-19.37
posted,,09/18/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-3.85
posted,,09/18/2018,,NATURAL GROCERS DT 25 U02DENVER       CO,Groceries,-9.32
posted,,09/18/2018,,IKON PASS IKON PASS      DENVER       CO,Travel,-699
posted,,09/18/2018,,SAFEWAY  STORE  2246     DENVER       CO,Groceries,-23.08
posted,,09/18/2018,,RYE SOCIETY 000000001    DENVER       CO,Restaurants/Dining,-42.12
posted,,09/16/2018,,SP * TINYHOUSEENTERPRI   ASHLAND      OR,General Merchandise,-10
posted,,09/15/2018,,CHIPOTLE 0006 0017       WHEAT RIDGE  CO,Work Lunches,-10.85
posted,,09/15/2018,,BAILEY SELF SVC 09459652 BAILEY       CO,Gasoline/Fuel,-12.77
posted,,09/14/2018,,UNITED PACIFIC 6526 09439LOUISVILLE   CO,Automotive Expenses,-29.89
posted,,09/14/2018,,KINDNESS YOGA - RINO 4368DENVER       CO,Personal Care,-10
posted,,09/14/2018,,SAFEWAY STORE     2812   LOUISVILLE   CO,Groceries,-19.36
posted,,09/14/2018,,CHIPOTLE 0114 0009       LOUISVILLE   CO,Work Lunches,-8.53
posted,,09/13/2018,,NATURAL GROCERS U025     DENVER       CO,Groceries,-4.69
posted,,09/13/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--115.71
posted,,09/13/2018,,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payments,--848.62
posted,,09/11/2018,,NATURAL GROCERS U025     DENVER       CO,Groceries,-9.57
posted,,09/10/2018,,RTD EAST DIA 0000        DENVER       CO,Travel,-9
posted,,09/10/2018,,LA COLOMBE 65000000656655PHILADELPHIA PA,Restaurants/Dining,-14.15
posted,,09/10/2018,,HIGHLAND WINE AND LIQUOR DENVER       CO,Groceries,-11.87
posted,,09/10/2018,,SPROUTS FARMERS MKT#314 0DENVER       CO,Groceries,-49.54
posted,,09/10/2018,,JENNY'S MARKET #002 10188DENVER       CO,Groceries,-6.24
posted,,09/10/2018,,GOOD 2 GO III INC 6500000PHILADELPHIA PA,Insurance,-4.5
posted,,09/09/2018,,CALEBS AMERICAN KI 542929LAHASKA      PA,Restaurants/Dining,-40
posted,,09/08/2018,,AUDIBLE US               888-283-5051 NJ,Entertainment,-16.09
posted,,09/07/2018,,STITCH FIX  INC.         SAN FRANCIS  CA,Clothing/Shoes,-20
posted,,09/07/2018,,DAZBOG COFFEE            DENVER       CO,Restaurants/Dining,-5.45
posted,,09/07/2018,,SWA INFLIGHT WIFI        WESTLAKE VILLCA,Travel,-8
posted,,09/07/2018,,RTD EAST 38TH-BLAKE 0000 DENVER       CO,Other Expenses,-9
posted,,09/06/2018,,RINO BEER GARDENS 0000   DENVER       CO,Entertainment,-61
posted,,09/06/2018,,7-ELEVEN 34036 93403699  BROOMFIELD   CO,Groceries,-54.23
posted,,09/06/2018,,HELLOFRESH.COM 800-733-24NEW YORK,Restaurants/Dining,-44.92
posted,,09/06/2018,,THE USUAL BARBERSHOP     DENVER       CO,Personal Care,-36
posted,,09/05/2018,,NATURAL GROCERS U025     DENVER       CO,Groceries,-11.82
posted,,09/05/2018,,HELLOFRESH.COM 800-733-24NEW YORK,Groceries,--25
posted,,09/04/2018,,BAR FAUSTO 000000001     DENVER       CO,Restaurants/Dining,-9
